[*] Generating 8-bit Prime-Harmonic Manifold...
[*] Initial Manifold Size: 267
[*] Pruning 11 values...
[*] Final Manifold Size: 256
[*] Launching 0.1B ANTIGRAVITY (Phase 53)...
[*] Resuming...
C:\Users\phil\AppData\Roaming\Python\Python310\site-packages\huggingface_hub\file_download.py:896: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
[*] Keys Adjusted: 0 missing, 0 unexpected.
[*] Clearing Initialization Memory...
C:\Users\phil\AppData\Roaming\Python\Python310\site-packages\huggingface_hub\file_download.py:896: FutureWarning: `resume_download` is deprecated and will be removed in version 1.0.0. Downloads always resume when possible. If you want to force a new download, use `force_download=True`.
  warnings.warn(
Token indices sequence length is longer than the specified maximum sequence length for this model (1055 > 1024). Running this sequence through the model will result in indexing errors
[!] AVALANCHE in blocks.0.mlp_fc1 | Flips: 1593 | Tension: 0.999263
[!] AVALANCHE in blocks.3.mlp_fc1 | Flips: 1168 | Tension: 1.000113
[!] AVALANCHE in blocks.3.mlp_fc2 | Flips: 1485 | Tension: 0.999376
[!] AVALANCHE in blocks.4.mlp_fc1 | Flips: 935 | Tension: 0.999915
[!] AVALANCHE in blocks.4.mlp_fc2 | Flips: 897 | Tension: 0.999578
[!] AVALANCHE in blocks.5.mlp_fc1 | Flips: 985 | Tension: 0.999858
[!] AVALANCHE in blocks.5.mlp_fc2 | Flips: 775 | Tension: 0.999546
[!] AVALANCHE in blocks.6.mlp_fc1 | Flips: 956 | Tension: 0.999732
[!] AVALANCHE in blocks.6.mlp_fc2 | Flips: 833 | Tension: 0.999591
[!] AVALANCHE in blocks.7.mlp_fc1 | Flips: 1019 | Tension: 0.999804
[!] AVALANCHE in blocks.7.mlp_fc2 | Flips: 806 | Tension: 0.999560
[!] AVALANCHE in blocks.8.mlp_fc1 | Flips: 1143 | Tension: 0.999812
[!] AVALANCHE in blocks.8.mlp_fc2 | Flips: 1007 | Tension: 0.999707
[!] AVALANCHE in blocks.9.mlp_fc1 | Flips: 1255 | Tension: 0.999687
[!] AVALANCHE in blocks.9.mlp_fc2 | Flips: 1069 | Tension: 0.999605
[!] AVALANCHE in blocks.10.mlp_fc1 | Flips: 2283 | Tension: 1.000104
[!] AVALANCHE in blocks.10.mlp_fc2 | Flips: 2439 | Tension: 0.999575
[!] AVALANCHE in blocks.11.mlp_fc1 | Flips: 1416 | Tension: 0.999972
[!] AVALANCHE in blocks.11.mlp_fc2 | Flips: 1143 | Tension: 0.999804
[!] AVALANCHE in blocks.12.mlp_fc1 | Flips: 1540 | Tension: 1.000886
[!] AVALANCHE in blocks.12.mlp_fc2 | Flips: 2172 | Tension: 1.000231
[!] AVALANCHE in head | Flips: 9903 | Tension: 0.996969
Step 3 | Loss: 5.0642 | TPS: 5425.31 | Flips: 0.0418% | P-Scale: 0.9996 | Anneal: 0.52 | VRAM: 6.07GB
[!] AVALANCHE in blocks.0.mlp_fc1 | Flips: 1631 | Tension: 0.999269
[!] AVALANCHE in blocks.0.mlp_fc2 | Flips: 1541 | Tension: 0.999049
[!] AVALANCHE in blocks.1.mlp_fc1 | Flips: 766 | Tension: 0.999881
[!] AVALANCHE in blocks.1.mlp_fc2 | Flips: 786 | Tension: 0.999448
[!] AVALANCHE in blocks.2.mlp_fc1 | Flips: 833 | Tension: 0.999875
[!] AVALANCHE in blocks.2.mlp_fc2 | Flips: 845 | Tension: 0.999565
[!] AVALANCHE in blocks.3.mlp_fc1 | Flips: 1109 | Tension: 1.000113
[!] AVALANCHE in blocks.3.mlp_fc2 | Flips: 1433 | Tension: 0.999377
[!] AVALANCHE in blocks.4.mlp_fc1 | Flips: 979 | Tension: 0.999914
[!] AVALANCHE in blocks.4.mlp_fc2 | Flips: 897 | Tension: 0.999576
[!] AVALANCHE in blocks.5.mlp_fc1 | Flips: 974 | Tension: 0.999858
[!] AVALANCHE in blocks.5.mlp_fc2 | Flips: 804 | Tension: 0.999546
[!] AVALANCHE in blocks.6.mlp_fc1 | Flips: 1009 | Tension: 0.999732
[!] AVALANCHE in blocks.6.mlp_fc2 | Flips: 795 | Tension: 0.999591
[!] AVALANCHE in blocks.7.mlp_fc1 | Flips: 1083 | Tension: 0.999803
[!] AVALANCHE in blocks.7.mlp_fc2 | Flips: 906 | Tension: 0.999561
[!] AVALANCHE in blocks.8.mlp_fc1 | Flips: 1142 | Tension: 0.999813
[!] AVALANCHE in blocks.8.mlp_fc2 | Flips: 1001 | Tension: 0.999708
[!] AVALANCHE in blocks.9.mlp_fc1 | Flips: 1187 | Tension: 0.999686
[!] AVALANCHE in blocks.9.mlp_fc2 | Flips: 945 | Tension: 0.999606
[!] AVALANCHE in blocks.10.mlp_fc1 | Flips: 2370 | Tension: 1.000109
[!] AVALANCHE in blocks.10.mlp_fc2 | Flips: 2329 | Tension: 0.999578
[!] AVALANCHE in blocks.11.mlp_fc1 | Flips: 1305 | Tension: 0.999973
[!] AVALANCHE in blocks.11.mlp_fc2 | Flips: 965 | Tension: 0.999805
[!] AVALANCHE in blocks.12.mlp_fc1 | Flips: 1497 | Tension: 1.000891
[!] AVALANCHE in blocks.12.mlp_fc2 | Flips: 2136 | Tension: 1.000235
[!] AVALANCHE in head | Flips: 9680 | Tension: 0.996946
Step 4 | Loss: 5.0218 | TPS: 5394.85 | Flips: 0.0410% | P-Scale: 0.9996 | Anneal: 0.52 | VRAM: 6.07GB
[!] AVALANCHE in blocks.0.mlp_fc1 | Flips: 1626 | Tension: 0.999270
[!] AVALANCHE in blocks.0.mlp_fc2 | Flips: 1589 | Tension: 0.999045
[!] AVALANCHE in blocks.1.mlp_fc1 | Flips: 858 | Tension: 0.999880
[!] AVALANCHE in blocks.1.mlp_fc2 | Flips: 902 | Tension: 0.999448
[!] AVALANCHE in blocks.2.mlp_fc1 | Flips: 833 | Tension: 0.999876
[!] AVALANCHE in blocks.2.mlp_fc2 | Flips: 830 | Tension: 0.999566
[!] AVALANCHE in blocks.3.mlp_fc1 | Flips: 1166 | Tension: 1.000112
[!] AVALANCHE in blocks.3.mlp_fc2 | Flips: 1347 | Tension: 0.999377
[!] AVALANCHE in blocks.4.mlp_fc1 | Flips: 968 | Tension: 0.999915
[!] AVALANCHE in blocks.4.mlp_fc2 | Flips: 862 | Tension: 0.999575
[!] AVALANCHE in blocks.5.mlp_fc1 | Flips: 957 | Tension: 0.999859
[!] AVALANCHE in blocks.5.mlp_fc2 | Flips: 760 | Tension: 0.999546
[!] AVALANCHE in blocks.6.mlp_fc1 | Flips: 985 | Tension: 0.999731
[!] AVALANCHE in blocks.6.mlp_fc2 | Flips: 790 | Tension: 0.999590
[!] AVALANCHE in blocks.7.mlp_fc1 | Flips: 1039 | Tension: 0.999802
[!] AVALANCHE in blocks.7.mlp_fc2 | Flips: 854 | Tension: 0.999560
[!] AVALANCHE in blocks.8.mlp_fc1 | Flips: 1069 | Tension: 0.999814
[!] AVALANCHE in blocks.8.mlp_fc2 | Flips: 1027 | Tension: 0.999708
[!] AVALANCHE in blocks.9.mlp_fc1 | Flips: 1262 | Tension: 0.999686
[!] AVALANCHE in blocks.9.mlp_fc2 | Flips: 1024 | Tension: 0.999606
[!] AVALANCHE in blocks.10.mlp_fc1 | Flips: 2413 | Tension: 1.000113
[!] AVALANCHE in blocks.10.mlp_fc2 | Flips: 2502 | Tension: 0.999580
[!] AVALANCHE in blocks.11.mlp_fc1 | Flips: 1386 | Tension: 0.999974
[!] AVALANCHE in blocks.11.mlp_fc2 | Flips: 1111 | Tension: 0.999805
[!] AVALANCHE in blocks.12.mlp_fc1 | Flips: 1559 | Tension: 1.000895
[!] AVALANCHE in blocks.12.mlp_fc2 | Flips: 2237 | Tension: 1.000237
[!] AVALANCHE in head | Flips: 9432 | Tension: 0.996924
Step 5 | Loss: 5.3704 | TPS: 5433.79 | Flips: 0.0414% | P-Scale: 0.9996 | Anneal: 0.53 | VRAM: 6.07GB
[!] AVALANCHE in blocks.0.mlp_fc1 | Flips: 1600 | Tension: 0.999272
[!] AVALANCHE in blocks.0.mlp_fc2 | Flips: 1529 | Tension: 0.999041
[!] AVALANCHE in blocks.1.mlp_fc1 | Flips: 742 | Tension: 0.999880
[!] AVALANCHE in blocks.1.mlp_fc2 | Flips: 849 | Tension: 0.999448
[!] AVALANCHE in blocks.2.mlp_fc1 | Flips: 813 | Tension: 0.999878
[!] AVALANCHE in blocks.2.mlp_fc2 | Flips: 996 | Tension: 0.999566
[!] AVALANCHE in blocks.3.mlp_fc1 | Flips: 1116 | Tension: 1.000111
[!] AVALANCHE in blocks.3.mlp_fc2 | Flips: 1299 | Tension: 0.999376
[!] AVALANCHE in blocks.4.mlp_fc1 | Flips: 913 | Tension: 0.999914
[!] AVALANCHE in blocks.4.mlp_fc2 | Flips: 841 | Tension: 0.999573
[!] AVALANCHE in blocks.5.mlp_fc1 | Flips: 943 | Tension: 0.999859
[!] AVALANCHE in blocks.5.mlp_fc2 | Flips: 751 | Tension: 0.999545
[!] AVALANCHE in blocks.6.mlp_fc1 | Flips: 878 | Tension: 0.999731
[!] AVALANCHE in blocks.6.mlp_fc2 | Flips: 794 | Tension: 0.999588
[!] AVALANCHE in blocks.7.mlp_fc1 | Flips: 1088 | Tension: 0.999802
[!] AVALANCHE in blocks.7.mlp_fc2 | Flips: 954 | Tension: 0.999559
[!] AVALANCHE in blocks.8.mlp_fc1 | Flips: 1152 | Tension: 0.999814
[!] AVALANCHE in blocks.8.mlp_fc2 | Flips: 944 | Tension: 0.999709
[!] AVALANCHE in blocks.9.mlp_fc1 | Flips: 1234 | Tension: 0.999687
[!] AVALANCHE in blocks.9.mlp_fc2 | Flips: 1071 | Tension: 0.999607
[!] AVALANCHE in blocks.10.mlp_fc1 | Flips: 2338 | Tension: 1.000116
[!] AVALANCHE in blocks.10.mlp_fc2 | Flips: 2421 | Tension: 0.999581
[!] AVALANCHE in blocks.11.mlp_fc1 | Flips: 1336 | Tension: 0.999976
[!] AVALANCHE in blocks.11.mlp_fc2 | Flips: 933 | Tension: 0.999806
[!] AVALANCHE in blocks.12.mlp_fc1 | Flips: 1483 | Tension: 1.000899
[!] AVALANCHE in blocks.12.mlp_fc2 | Flips: 2176 | Tension: 1.000241
[!] AVALANCHE in head | Flips: 9268 | Tension: 0.996904
Step 6 | Loss: 5.5044 | TPS: 5545.79 | Flips: 0.0405% | P-Scale: 0.9996 | Anneal: 0.53 | VRAM: 6.07GB
[!] AVALANCHE in blocks.0.mlp_fc1 | Flips: 1695 | Tension: 0.999273
[!] AVALANCHE in blocks.0.mlp_fc2 | Flips: 1480 | Tension: 0.999038
[!] AVALANCHE in blocks.1.mlp_fc1 | Flips: 742 | Tension: 0.999880
[!] AVALANCHE in blocks.1.mlp_fc2 | Flips: 840 | Tension: 0.999447
[!] AVALANCHE in blocks.2.mlp_fc1 | Flips: 799 | Tension: 0.999880
[!] AVALANCHE in blocks.2.mlp_fc2 | Flips: 958 | Tension: 0.999566
[!] AVALANCHE in blocks.3.mlp_fc1 | Flips: 1117 | Tension: 1.000110
[!] AVALANCHE in blocks.3.mlp_fc2 | Flips: 1289 | Tension: 0.999376
[!] AVALANCHE in blocks.4.mlp_fc1 | Flips: 957 | Tension: 0.999914
[!] AVALANCHE in blocks.4.mlp_fc2 | Flips: 846 | Tension: 0.999572
[!] AVALANCHE in blocks.5.mlp_fc1 | Flips: 977 | Tension: 0.999860
[!] AVALANCHE in blocks.5.mlp_fc2 | Flips: 793 | Tension: 0.999544
[!] AVALANCHE in blocks.6.mlp_fc1 | Flips: 942 | Tension: 0.999731
[!] AVALANCHE in blocks.6.mlp_fc2 | Flips: 826 | Tension: 0.999588
[!] AVALANCHE in blocks.7.mlp_fc1 | Flips: 1147 | Tension: 0.999801
[!] AVALANCHE in blocks.7.mlp_fc2 | Flips: 937 | Tension: 0.999558
[!] AVALANCHE in blocks.8.mlp_fc1 | Flips: 1071 | Tension: 0.999814
[!] AVALANCHE in blocks.8.mlp_fc2 | Flips: 1016 | Tension: 0.999709
[!] AVALANCHE in blocks.9.mlp_fc1 | Flips: 1190 | Tension: 0.999688
[!] AVALANCHE in blocks.9.mlp_fc2 | Flips: 1052 | Tension: 0.999606
[!] AVALANCHE in blocks.10.mlp_fc1 | Flips: 2488 | Tension: 1.000119
[!] AVALANCHE in blocks.10.mlp_fc2 | Flips: 2368 | Tension: 0.999582
[!] AVALANCHE in blocks.11.mlp_fc1 | Flips: 1353 | Tension: 0.999977
[!] AVALANCHE in blocks.11.mlp_fc2 | Flips: 950 | Tension: 0.999805
[!] AVALANCHE in blocks.12.mlp_fc1 | Flips: 1625 | Tension: 1.000904
[!] AVALANCHE in blocks.12.mlp_fc2 | Flips: 2316 | Tension: 1.000243
[!] AVALANCHE in head | Flips: 9190 | Tension: 0.996885
Step 7 | Loss: 5.2286 | TPS: 5507.48 | Flips: 0.0410% | P-Scale: 0.9996 | Anneal: 0.54 | VRAM: 6.07GB
[!] AVALANCHE in blocks.0.mlp_fc1 | Flips: 1685 | Tension: 0.999274
[!] AVALANCHE in blocks.0.mlp_fc2 | Flips: 1589 | Tension: 0.999034
[!] AVALANCHE in blocks.1.mlp_fc1 | Flips: 770 | Tension: 0.999879
[!] AVALANCHE in blocks.1.mlp_fc2 | Flips: 846 | Tension: 0.999445
[!] AVALANCHE in blocks.2.mlp_fc1 | Flips: 893 | Tension: 0.999881
[!] AVALANCHE in blocks.2.mlp_fc2 | Flips: 1072 | Tension: 0.999565
[!] AVALANCHE in blocks.3.mlp_fc1 | Flips: 1157 | Tension: 1.000109
[!] AVALANCHE in blocks.3.mlp_fc2 | Flips: 1445 | Tension: 0.999376
[!] AVALANCHE in blocks.4.mlp_fc1 | Flips: 956 | Tension: 0.999915
[!] AVALANCHE in blocks.4.mlp_fc2 | Flips: 802 | Tension: 0.999571
[!] AVALANCHE in blocks.5.mlp_fc1 | Flips: 988 | Tension: 0.999859
[!] AVALANCHE in blocks.5.mlp_fc2 | Flips: 795 | Tension: 0.999543
[!] AVALANCHE in blocks.6.mlp_fc1 | Flips: 981 | Tension: 0.999731
[!] AVALANCHE in blocks.6.mlp_fc2 | Flips: 798 | Tension: 0.999587
[!] AVALANCHE in blocks.7.mlp_fc1 | Flips: 1103 | Tension: 0.999800
[!] AVALANCHE in blocks.7.mlp_fc2 | Flips: 883 | Tension: 0.999556
[!] AVALANCHE in blocks.8.mlp_fc1 | Flips: 1126 | Tension: 0.999814
[!] AVALANCHE in blocks.8.mlp_fc2 | Flips: 972 | Tension: 0.999708
[!] AVALANCHE in blocks.9.mlp_fc1 | Flips: 1267 | Tension: 0.999688
[!] AVALANCHE in blocks.9.mlp_fc2 | Flips: 1093 | Tension: 0.999606
[!] AVALANCHE in blocks.10.mlp_fc1 | Flips: 2353 | Tension: 1.000121
[!] AVALANCHE in blocks.10.mlp_fc2 | Flips: 2492 | Tension: 0.999583
[!] AVALANCHE in blocks.11.mlp_fc1 | Flips: 1410 | Tension: 0.999979
[!] AVALANCHE in blocks.11.mlp_fc2 | Flips: 1146 | Tension: 0.999805
[!] AVALANCHE in blocks.12.mlp_fc1 | Flips: 1710 | Tension: 1.000907
[!] AVALANCHE in blocks.12.mlp_fc2 | Flips: 2278 | Tension: 1.000246
[!] AVALANCHE in head | Flips: 10108 | Tension: 0.996867
Step 8 | Loss: 5.5665 | TPS: 5507.10 | Flips: 0.0427% | P-Scale: 0.9996 | Anneal: 0.54 | VRAM: 6.07GB
[!] AVALANCHE in blocks.0.mlp_fc1 | Flips: 1671 | Tension: 0.999276
[!] AVALANCHE in blocks.0.mlp_fc2 | Flips: 1538 | Tension: 0.999031
[!] AVALANCHE in blocks.1.mlp_fc1 | Flips: 795 | Tension: 0.999878
[!] AVALANCHE in blocks.1.mlp_fc2 | Flips: 855 | Tension: 0.999444
[!] AVALANCHE in blocks.2.mlp_fc1 | Flips: 836 | Tension: 0.999882
[!] AVALANCHE in blocks.2.mlp_fc2 | Flips: 952 | Tension: 0.999565
[!] AVALANCHE in blocks.3.mlp_fc1 | Flips: 1086 | Tension: 1.000108
[!] AVALANCHE in blocks.3.mlp_fc2 | Flips: 1277 | Tension: 0.999376
[!] AVALANCHE in blocks.4.mlp_fc1 | Flips: 957 | Tension: 0.999914
[!] AVALANCHE in blocks.4.mlp_fc2 | Flips: 873 | Tension: 0.999570
[!] AVALANCHE in blocks.5.mlp_fc1 | Flips: 934 | Tension: 0.999858
[!] AVALANCHE in blocks.5.mlp_fc2 | Flips: 801 | Tension: 0.999543
[!] AVALANCHE in blocks.6.mlp_fc1 | Flips: 916 | Tension: 0.999732
[!] AVALANCHE in blocks.6.mlp_fc2 | Flips: 775 | Tension: 0.999587
[!] AVALANCHE in blocks.7.mlp_fc1 | Flips: 1084 | Tension: 0.999799
[!] AVALANCHE in blocks.7.mlp_fc2 | Flips: 875 | Tension: 0.999555
[!] AVALANCHE in blocks.8.mlp_fc1 | Flips: 1159 | Tension: 0.999814
[!] AVALANCHE in blocks.8.mlp_fc2 | Flips: 1079 | Tension: 0.999708
[!] AVALANCHE in blocks.9.mlp_fc1 | Flips: 1181 | Tension: 0.999688
[!] AVALANCHE in blocks.9.mlp_fc2 | Flips: 1019 | Tension: 0.999606
[!] AVALANCHE in blocks.10.mlp_fc1 | Flips: 2391 | Tension: 1.000123
[!] AVALANCHE in blocks.10.mlp_fc2 | Flips: 2481 | Tension: 0.999584
[!] AVALANCHE in blocks.11.mlp_fc1 | Flips: 1326 | Tension: 0.999982
[!] AVALANCHE in blocks.11.mlp_fc2 | Flips: 1076 | Tension: 0.999805
[!] AVALANCHE in blocks.12.mlp_fc1 | Flips: 1620 | Tension: 1.000911
[!] AVALANCHE in blocks.12.mlp_fc2 | Flips: 2256 | Tension: 1.000249
[!] AVALANCHE in head | Flips: 10094 | Tension: 0.996850
Step 9 | Loss: 4.9962 | TPS: 5461.16 | Flips: 0.0419% | P-Scale: 0.9996 | Anneal: 0.55 | VRAM: 6.07GB
[!] AVALANCHE in blocks.0.mlp_fc1 | Flips: 1634 | Tension: 0.999278
[!] AVALANCHE in blocks.0.mlp_fc2 | Flips: 1532 | Tension: 0.999028
[!] AVALANCHE in blocks.1.mlp_fc1 | Flips: 731 | Tension: 0.999877
[!] AVALANCHE in blocks.1.mlp_fc2 | Flips: 844 | Tension: 0.999443
[!] AVALANCHE in blocks.2.mlp_fc1 | Flips: 870 | Tension: 0.999884
[!] AVALANCHE in blocks.2.mlp_fc2 | Flips: 1030 | Tension: 0.999564
[!] AVALANCHE in blocks.3.mlp_fc1 | Flips: 1136 | Tension: 1.000107
[!] AVALANCHE in blocks.3.mlp_fc2 | Flips: 1290 | Tension: 0.999376
[!] AVALANCHE in blocks.4.mlp_fc1 | Flips: 954 | Tension: 0.999914
[!] AVALANCHE in blocks.4.mlp_fc2 | Flips: 813 | Tension: 0.999570
[!] AVALANCHE in blocks.5.mlp_fc1 | Flips: 959 | Tension: 0.999858
[!] AVALANCHE in blocks.5.mlp_fc2 | Flips: 742 | Tension: 0.999543
[!] AVALANCHE in blocks.6.mlp_fc1 | Flips: 917 | Tension: 0.999732
[!] AVALANCHE in blocks.6.mlp_fc2 | Flips: 792 | Tension: 0.999586
[!] AVALANCHE in blocks.7.mlp_fc1 | Flips: 1039 | Tension: 0.999799
[!] AVALANCHE in blocks.7.mlp_fc2 | Flips: 875 | Tension: 0.999553
[!] AVALANCHE in blocks.8.mlp_fc1 | Flips: 1129 | Tension: 0.999815
[!] AVALANCHE in blocks.8.mlp_fc2 | Flips: 984 | Tension: 0.999707
[!] AVALANCHE in blocks.9.mlp_fc1 | Flips: 1173 | Tension: 0.999689
[!] AVALANCHE in blocks.9.mlp_fc2 | Flips: 1021 | Tension: 0.999607
[!] AVALANCHE in blocks.10.mlp_fc1 | Flips: 2406 | Tension: 1.000125
[!] AVALANCHE in blocks.10.mlp_fc2 | Flips: 2477 | Tension: 0.999586
[!] AVALANCHE in blocks.11.mlp_fc1 | Flips: 1331 | Tension: 0.999984
[!] AVALANCHE in blocks.11.mlp_fc2 | Flips: 1017 | Tension: 0.999805
[!] AVALANCHE in blocks.12.mlp_fc1 | Flips: 1539 | Tension: 1.000914
[!] AVALANCHE in blocks.12.mlp_fc2 | Flips: 2243 | Tension: 1.000252
[!] AVALANCHE in head | Flips: 9856 | Tension: 0.996835
Step 10 | Loss: 5.3280 | TPS: 5488.98 | Flips: 0.0414% | P-Scale: 0.9996 | Anneal: 0.55 | VRAM: 6.07GB
[!] AVALANCHE in blocks.0.mlp_fc1 | Flips: 1603 | Tension: 0.999280
[!] AVALANCHE in blocks.0.mlp_fc2 | Flips: 1507 | Tension: 0.999025
[!] AVALANCHE in blocks.1.mlp_fc1 | Flips: 740 | Tension: 0.999876
[!] AVALANCHE in blocks.1.mlp_fc2 | Flips: 776 | Tension: 0.999442
[!] AVALANCHE in blocks.2.mlp_fc1 | Flips: 843 | Tension: 0.999886
[!] AVALANCHE in blocks.2.mlp_fc2 | Flips: 973 | Tension: 0.999563
[!] AVALANCHE in blocks.3.mlp_fc1 | Flips: 1100 | Tension: 1.000106
[!] AVALANCHE in blocks.3.mlp_fc2 | Flips: 1349 | Tension: 0.999376
[!] AVALANCHE in blocks.4.mlp_fc1 | Flips: 936 | Tension: 0.999914
